Entrada,Salida,Tiempo total,Entrada Micro,Salida Micro,Tiempo total micro,Dia,Inicio Cola,Fin Cola,Tiempo Cola
12:56:54 PM,01:00:39 PM,00:03:45,12:00:00 AM,12:02:43 AM,00:02:43,09/03/2022,01:00:58 PM,01:02:00 PM,00:01:02
12:57:32 PM,01:01:58 PM,00:04:26,12:01:05 AM,12:03:25 AM,00:02:20,09/03/2022,01:01:38 PM,01:03:53 PM,00:02:15
12:58:48 PM,01:02:45 PM,00:03:57,12:02:52 AM,12:05:26 AM,00:02:34,09/03/2022,01:03:29 PM,01:04:05 PM,00:00:36
12:59:30 PM,01:05:48 PM,00:06:18,12:03:44 AM,12:05:32 AM,00:01:48,09/03/2022,01:10:45 PM,01:12:08 PM,00:01:23
01:01:37 PM,01:07:17 PM,00:05:40,12:05:47 AM,12:09:30 AM,00:03:43,09/03/2022,,,
01:08:41 PM,01:16:00 PM,00:07:19,12:05:57 AM,12:09:07 AM,00:03:10,09/03/2022,,,
01:12:35 PM,01:15:00 PM,00:02:25,12:10:30 AM,12:14:27 AM,00:03:57,09/03/2022,,,
01:15:29 PM,01:18:08 PM,00:02:39,12:10:47 AM,12:13:49 AM,00:03:02,09/03/2022,,,
01:17:15 PM,01:19:00 PM,00:01:45,12:14:03 AM,12:19:03 AM,00:05:00,09/03/2022,,,
,,,12:14:45 AM,12:16:36 AM,00:01:51,09/03/2022,,,
,,,12:16:46 AM,12:18:26 AM,00:01:40,09/03/2022,,,
,,,12:19:25 AM,12:21:37 AM,00:02:12,09/03/2022,,,
12:56:10 PM,01:00:36 PM,00:04:26,12:00:00 AM,12:04:01 AM,00:04:01,10/03/2022,01:05:23 PM,01:06:05 PM,00:00:42
01:00:41 PM,01:03:10 PM,00:02:29,12:04:49 AM,12:06:48 AM,00:01:59,10/03/2022,01:05:39 PM,01:10:41 PM,00:05:02
01:01:48 PM,01:06:03 PM,00:04:15,12:05:28 AM,12:09:19 AM,00:03:51,10/03/2022,,,
01:04:32 PM,01:10:58 PM,00:06:26,12:08:21 AM,12:14:23 AM,00:06:02,10/03/2022,,,
01:05:39 PM,01:14:56 PM,00:09:17,12:14:30 AM,12:17:09 AM,00:02:39,10/03/2022,,,
01:13:01 PM,01:21:30 PM,00:08:29,12:17:20 AM,12:19:09 AM,00:01:49,10/03/2022,,,
,,,12:23:20 AM,12:24:48 AM,00:01:28,10/03/2022,,,
12:55:00 PM,12:58:33 PM,00:03:33,12:55:00 PM,01:03:22 PM,00:08:22,11/03/2022,01:01:30 PM,01:02:40 PM,00:01:10
12:59:00 PM,01:03:57 PM,00:04:57,01:00:00 PM,01:03:50 PM,00:03:50,11/03/2022,,,
01:01:13 PM,01:05:23 PM,00:04:10,01:03:36 PM,01:06:02 PM,00:02:26,11/03/2022,,,
01:01:55 PM,01:11:07 PM,00:09:12,01:04:16 PM,01:07:10 PM,00:02:54,11/03/2022,,,
01:02:58 PM,01:06:40 PM,00:03:42,01:08:23 PM,01:12:17 PM,00:03:54,11/03/2022,,,
01:07:20 PM,01:11:30 PM,00:04:10,01:09:30 PM,01:12:20 PM,00:02:50,11/03/2022,,,
01:08:26 PM,01:11:30 PM,00:03:04,01:12:59 PM,01:14:37 PM,00:01:38,11/03/2022,,,
,,,01:12:59 PM,01:16:01 PM,00:03:02,11/03/2022,,,
12:49:16 PM,12:59:33 PM,00:10:17,12:48:30 PM,12:54:36 PM,00:06:06,14/03/2022,12:49:16 PM,12:54:39 PM,00:05:23
12:51:51 PM,12:58:55 PM,00:07:04,12:49:54 PM,12:53:26 PM,00:03:32,14/03/2022,12:51:51 PM,12:56:30 PM,00:04:39
12:56:25 PM,01:02:56 PM,00:06:31,12:53:42 PM,12:56:36 PM,00:02:54,14/03/2022,12:56:25 PM,12:59:00 PM,00:02:35
12:56:42 PM,01:11:56 PM,00:15:14,12:54:57 PM,12:59:06 PM,00:04:09,14/03/2022,12:56:42 PM,01:05:21 PM,00:08:39
12:57:28 PM,01:03:13 PM,00:05:45,12:56:55 PM,12:58:44 PM,00:01:49,14/03/2022,12:57:28 PM,12:59:46 PM,00:02:18
12:58:13 PM,01:11:56 PM,00:13:43,12:58:59 PM,01:02:30 PM,00:03:31,14/03/2022,12:58:13 PM,01:03:03 PM,00:04:50
